date,vc_horiz_mean,coherence_vc,accel_mean,lf_mean,z_vc,z_coherence,z_accel,z_lf,TSI,TSI_30d,alert
2019-02-17,1.233241261137202,0.5979111193462682,0.06324658445423978,2.7218186845588535,-0.5053754703332826,-0.6644950661026239,-0.457810698070403,-0.15460119548497525,-0.4455706074978212,-0.16868645967973256,False
2019-02-18,1.8267470785121311,0.947709482833153,0.04065309660315637,2.6484842185583206,-0.3229179558556579,0.8932511064477365,-0.6285271426673862,-0.16693120751018567,-0.05628129989637332,-0.18605557709638904,False
2019-02-19,1.5392385957877057,0.9633499239835115,0.037174681589922265,2.4624770938378275,-0.41130476119676374,0.9629021965674979,-0.6548100542658989,-0.19820531652956308,-0.07535448385618196,-0.2090046546111009,False
2019-02-20,1.013197223427612,0.8860639872687135,0.04908605870874268,2.2375279210919437,-0.5730221336359099,0.6187271383729792,-0.5648076621880697,-0.23602690515335872,-0.18878239065108976,-0.23596811556816136,False
2019-02-21,0.9503753007469561,0.6947184954782728,0.06227631187182785,1.9340861467909727,-0.592335056157404,-0.23338578891491807,-0.4651420798672757,-0.2870457634082885,-0.3944771720869716,-0.2593171773638691,False
2019-02-22,1.4772902678468316,0.9568586014256312,0.06882979626968032,1.8384467823502055,-0.43034912034412554,0.9339945917161475,-0.415623937139723,-0.3031259856823495,-0.05377611286251263,-0.2837636858114145,False
2019-02-23,2.1574413171264473,0.9437891356584565,0.07633131275604277,1.7736819584018586,-0.22125484310553944,0.8757927463068345,-0.3589424618368276,-0.3140151501045456,-0.00460492718501955,-0.3143349346006613,False
2019-02-24,1.8774148924200353,0.7265719148353925,0.07021816746665742,1.6854399089397527,-0.3073414895110813,-0.09153394720938873,-0.4051334012786376,-0.32885163273454215,-0.28321511768341245,-0.3524152318555341,False
2019-02-25,1.7709505607817277,0.6703595985282357,0.029363584028374388,1.584870319468624,-0.34007110523273454,-0.34186250708255944,-0.713830724863408,-0.34576079312224417,-0.43538128257523656,-0.383479311710204,False
2019-02-26,1.5648178087355438,0.40476397931047214,0.04031926417243006,1.5075762458137216,-0.40344111524734566,-1.5246312174859924,-0.6310495812585589,-0.3587565495464543,-0.7294696158845878,-0.41618294511654647,False
2019-02-27,1.4013308742405042,0.4290517391127155,0.054994456416785895,1.4985769419055217,-0.4537008074765919,-1.4164712921660856,-0.5201637959275651,-0.3602696378861965,-0.6876513833641097,-0.45178295476349334,False
2019-02-28,1.940258527916288,0.709523465968288,0.06501495241832508,1.4394047399729752,-0.28802189196425454,-0.16745527430172763,-0.4444489057894749,-0.37021849278589913,-0.317536141210339,-0.4874534688636627,False
2019-03-01,1.95316224473207,0.7111312323494259,0.06530559799294668,1.5405467473304715,-0.28405498881216057,-0.16029545828198624,-0.44225278717935657,-0.35321308952895325,-0.30995408095061416,-0.5069377994110433,False
2019-03-02,1.1535970644016145,0.461996186348551,0.0689185774260027,1.503503464159216,-0.5298599517882677,-1.2697608099418478,-0.414953106524527,-0.3594413223349512,-0.6435037976473984,-0.4946740195140771,False
2019-03-03,0.8909494581835388,0.20129241208743773,0.06645511694448009,1.6598251224644323,-0.6106039445363198,-2.430744819347909,-0.4335670194175975,-0.3331583474689428,-0.9520185326926922,-0.48737788894354483,False
2019-03-04,1.209335588664711,0.7152349688309408,0.08130705963964543,1.5843082279133804,-0.5127246309540477,-0.1420204162448759,-0.32134570728604966,-0.34585529978484636,-0.3304865135674549,-0.4701724925256093,False
2019-03-05,1.0959936752468158,0.6151642017677333,0.06064973958636189,1.6885758078895334,-0.5475685755337911,-0.5876624507672439,-0.4774324636842843,-0.3283243817178052,-0.48524696792578115,-0.454887758792963,False
2019-03-06,1.3828056349982083,0.5497793849565074,0.04512333668985448,1.501387695057708,-0.45939589758068333,-0.8788386218484804,-0.5947499986015391,-0.3597970549104631,-0.5731953932352915,-0.45240282051281366,False
2019-03-07,1.502642135896871,0.48310264632824446,0.052297738713482374,1.5962534393037136,-0.4225553655124812,-1.1757680681756688,-0.5405402009086864,-0.34384690444062416,-0.6206776347593651,-0.4511451007183789,False
